customer_id,name,gender,join_date
1,Advik Maharaj,Male,2024-09-26
2,Charan Chahal,Male,2025-06-05
3,Amruta Chander,Female,2024-09-07
4,Hardik Saini,Male,2024-09-08
5,Aarush Dutta,Male,2025-08-22
6,Liam Dugal,Male,2024-09-04
7,Charan Chanda,Male,2025-01-02
8,Orinder Lalla,Male,2025-11-10
9,Diya Radhakrishnan,Female,2024-05-28
10,Pratyush Handa,Male,2025-08-27
11,Ishaan Mann,Male,2026-03-20
12,Chandresh Rai,Male,2024-10-20
13,Finn Prabhakar,Male,2024-12-15
14,Balendra Garg,Male,2025-04-25
15,Finn Shere,Male,2025-01-02
16,Nicholas Bhalla,Male,2024-09-14
17,Nisha Rattan,Female,2024-10-13
18,Nakul Kala,Male,2025-07-22
19,Vasudha Dhar,Female,2024-10-11
20,Lekha Sangha,Female,2026-01-15
21,Pratyush Kanda,Male,2026-03-29
22,Yatin Chand,Male,2025-10-03
23,Ganga Dutta,Female,2025-10-30
24,Bhavika Rajan,Female,2025-01-04
25,Zarna Krishnamurthy,Female,2026-03-09
26,Dakshesh Yadav,Male,2025-09-30
27,Daksh Memon,Male,2025-02-11
28,Aadhya Lall,Female,2026-03-10
29,Zehaan Cherian,Male,2025-12-26
30,Zehaan Issac,Male,2024-07-21
31,Zilmil Acharya,Female,2025-06-11
32,Aditya Choudhury,Male,2026-02-07
33,Kashvi Bhardwaj,Female,2024-09-23
34,Chaman Sunder,Female,2025-11-16
35,Eesha Soman,Female,2026-02-20
36,Kevin Wable,Male,2025-12-28
37,Jagvi Zacharia,Female,2025-10-03
38,Nachiket Rastogi,Male,2026-03-27
39,Urvashi Varughese,Female,2025-02-24
40,Isaiah Bhatt,Male,2024-12-03
41,Januja Amble,Female,2024-05-22
42,Jyoti Bir,Female,2026-01-21
43,Balendra Varkey,Male,2024-09-21
44,Hredhaan Zacharia,Male,2024-07-06
45,Jairaj Solanki,Male,2025-11-10
46,Champak Chatterjee,Male,2025-07-25
47,Udyati Roy,Female,2025-03-07
48,Chandran Bhat,Male,2025-01-19
49,Chatura Kothari,Male,2024-08-18
50,Ekaraj Sami,Male,2024-08-12
51,Kritika Borra,Female,2025-02-18
52,Arya Zachariah,Female,2025-12-01
53,Kashish Ganesan,Female,2025-01-22
54,Jalsa Rattan,Female,2026-01-18
55,Ranveer Agate,Male,2026-03-20
56,Vasana Mangal,Female,2025-02-03
57,Garima Gupta,Female,2024-11-03
58,Azaan Murthy,Male,2024-05-12
59,Yashasvi Wali,Female,2024-07-24
60,Girik Biswas,Male,2025-06-08
61,Saksham Dar,Male,2026-02-16
62,Anmol Bumb,Male,2025-01-31
63,Kalpit Jayaraman,Male,2025-08-02
64,Kashvi Lanka,Female,2025-01-14
65,Vasudha Mutti,Female,2026-02-07
66,Aarna Shanker,Female,2025-06-27
67,Balhaar Yogi,Male,2024-09-03
68,Ekaja Palla,Female,2026-01-03
69,Qasim Mane,Male,2024-07-24
70,Aayush Mistry,Male,2026-02-09
71,Ekalinga Lalla,Male,2024-06-24
72,Garima Magar,Female,2024-10-23
73,Pavani Jani,Female,2025-08-15
74,Yashawini Suresh,Female,2024-10-01
75,Chakradhar Sampath,Male,2025-11-26
76,Aarav Nath,Male,2025-10-15
77,Gaurika Sathe,Female,2025-05-08
78,Aayush Choudhury,Male,2024-05-25
79,Anita Pingle,Female,2025-05-30
80,Upasna Datta,Female,2024-05-01
81,Anusha Parmar,Female,2024-09-01
82,Charan Pandya,Male,2025-10-21
83,Garima Khalsa,Female,2025-12-22
84,Samuel Bakshi,Male,2024-08-09
85,Samesh Kothari,Male,2024-10-12
86,Sai Barad,Female,2025-12-17
87,Irya Sharma,Female,2024-12-11
88,Jasmit Bajwa,Female,2025-07-26
89,Omya Mallick,Female,2025-12-22
90,Parth Upadhyay,Male,2025-01-17
91,Akshay D’Alia,Male,2025-12-31
92,Hemal Lanka,Female,2024-04-28
93,Orinder Murthy,Male,2025-02-13
94,Reyansh Gupta,Male,2024-10-03
95,Aadi Venkatesh,Male,2026-02-04
96,Qabil Sankar,Male,2024-05-22
97,Naksh Dash,Male,2025-09-07
98,Yashica More,Female,2025-07-31
99,Saksham Merchant,Male,2025-05-10
100,Ucchal Raghavan,Female,2025-08-07
101,Nidhi Ravi,Female,2025-05-05
102,Nidra Mangat,Female,2024-09-01
103,Vidhi Sathe,Female,2025-02-17
104,Warjas Gara,Male,2025-07-25
105,Oliver Chander,Male,2025-11-18
106,Nilima Kar,Female,2025-11-09
107,Amaira Batra,Female,2024-09-26
108,Balhaar Shah,Male,2025-01-28
109,Sanaya Talwar,Female,2025-01-17
110,Aahana Chhabra,Female,2025-10-20
111,Gaurang Vasa,Male,2025-03-05
112,Divya Shan,Female,2024-07-07
113,Nathan Savant,Male,2025-06-21
114,Vansha Dutt,Female,2025-09-25
115,Umang Lad,Male,2025-10-01
116,Xavier Khare,Male,2024-10-18
117,Mekhala Keer,Female,2024-10-16
118,Banjeet Devi,Male,2024-07-19
119,Faraj Kala,Male,2024-05-17
120,Oni Shukla,Female,2025-01-29
121,Shivansh Ramachandran,Male,2026-01-20
122,Ranveer Sood,Male,2024-04-05
123,Neha Ramakrishnan,Female,2025-12-14
124,Januja Sura,Female,2024-09-07
125,Xavier Balakrishnan,Male,2025-01-09
126,Fitan Sibal,Male,2026-01-31
127,Shravya Bala,Female,2024-06-01
128,Ekanta Shenoy,Female,2024-08-11
129,Ranveer Narang,Male,2024-09-02
130,Om Raghavan,Male,2024-10-20
131,Jonathan Bumb,Male,2025-03-09
132,Parth Kapur,Male,2025-07-18
133,Alexander Kota,Male,2024-08-24
134,Ganga Khare,Female,2024-07-02
135,Ikbal Shroff,Male,2025-08-23
136,Fiyaz Contractor,Male,2025-10-20
137,Nachiket Chokshi,Male,2025-05-27
138,Riya Ranganathan,Female,2026-02-16
139,Baljiwan Kibe,Male,2024-06-14
140,Dipta Barman,Female,2024-12-10
141,Reva Biswas,Female,2025-04-04
142,Abeer Salvi,Male,2025-11-21
143,Tarak Pathak,Male,2025-07-08
144,Ganga Saran,Female,2024-08-07
145,Warhi Shroff,Female,2025-02-12
146,Ojasvi Korpal,Female,2025-11-27
147,Maya Seshadri,Female,2024-09-25
148,Sachi Nayar,Female,2024-04-21
149,Gavin Sura,Male,2024-09-02
150,Onkar Mammen,Male,2026-01-02
151,Abdul Varughese,Male,2026-02-21
152,Jai Ray,Male,2025-03-23
153,Vyanjana Swaminathan,Female,2025-02-21
154,Chakradhar Menon,Male,2024-09-09
155,Michael Pillay,Male,2025-03-12
156,Simon Narayanan,Male,2024-12-13
157,Krishna Mohan,Male,2024-10-01
158,Gopal Mutti,Male,2024-06-27
159,Gopal Kalita,Male,2025-09-21
160,Lohit Chaudhry,Male,2025-11-28
161,Ishaan Patel,Male,2024-08-09
162,Dev Mahal,Male,2024-05-04
163,Mugdha Date,Female,2025-07-10
164,Charan Arora,Male,2025-05-24
165,Wriddhish Sastry,Male,2024-12-05
166,Lajita Sridhar,Female,2024-06-23
167,Suhani Swamy,Female,2024-05-25
168,Faqid Dixit,Male,2025-11-13
169,Brijesh Kothari,Male,2024-06-26
170,Jeevika Virk,Female,2025-01-03
171,Manthan Sanghvi,Male,2024-11-09
172,Chavvi Johal,Female,2025-07-01
173,Chaitaly Dugar,Female,2024-09-22
174,Farhan Agate,Male,2025-01-23
175,Madhav Bali,Male,2024-09-16
176,Utkarsh Bobal,Male,2025-08-15
177,Ira Sandal,Female,2024-06-23
178,Falguni Lata,Female,2025-11-24
179,Bhanumati Gandhi,Female,2025-10-30
180,Urvashi Dash,Female,2025-03-08
181,Tamanna Magar,Female,2025-03-31
182,Theodore Buch,Male,2025-06-10
183,Neel Krishna,Male,2024-04-19
184,Advaith Luthra,Male,2025-05-26
185,Vrinda Venkataraman,Female,2025-07-19
186,Hemangini Sarin,Female,2025-07-07
187,Chakradev Singhal,Male,2024-12-10
188,Naveen Cheema,Male,2025-12-17
189,Samesh Tandon,Male,2024-10-28
190,Andrew Sha,Male,2024-06-04
191,Ojasvi D’Alia,Female,2026-03-09
192,Aadi Shere,Male,2025-01-27
193,Yochana Pathak,Female,2025-06-28
194,Timothy Behl,Male,2024-08-27
195,Mitali Sarma,Female,2026-01-03
196,Divya Balakrishnan,Female,2026-03-11
197,Fariq Mukhopadhyay,Male,2025-05-07
198,Chakradhar Kar,Male,2026-03-25
199,Vedhika Dalal,Female,2025-07-17
200,Zaid Manne,Male,2025-04-06
201,Sarthak Subramanian,Male,2026-03-16
202,Vedant Dhillon,Male,2025-01-05
203,Bakhshi Majumdar,Male,2025-10-16
204,Onkar Tripathi,Male,2024-10-12
205,Lohit Misra,Male,2025-12-02
206,Falguni Sekhon,Female,2025-04-28
207,Osha Purohit,Female,2025-02-26
208,Ijaya Khare,Female,2025-05-22
209,Samesh Bassi,Male,2024-11-18
210,Sai Raju,Female,2026-03-22
211,Yug Bansal,Male,2024-07-02
212,Chandresh Sarraf,Male,2024-06-12
213,Advika Dhawan,Female,2025-01-24
214,Baljiwan Singh,Male,2025-10-22
215,Pallavi Rao,Female,2025-07-18
216,Sachi Nadig,Female,2025-07-01
217,Anita Biswas,Female,2024-09-19
218,Jhalak Chana,Female,2025-02-11
219,Daksha Sawhney,Female,2024-07-31
220,Amrita Batra,Female,2024-11-23
221,Manan Parmer,Male,2024-12-30
222,Jason Wali,Male,2025-01-26
223,Harinakshi Gill,Female,2024-05-28
224,Jai Tank,Male,2026-01-26
225,Jack Shenoy,Male,2025-07-10
226,Joshua Andra,Male,2026-01-16
227,Mitali Dugar,Female,2024-05-24
228,Mason Samra,Male,2025-08-17
229,Matthew Issac,Male,2026-03-30
230,Damyanti Khalsa,Female,2025-01-04
231,Manbir Merchant,Male,2024-04-16
232,Laksh Anand,Male,2025-05-18
233,Yuvraj Mangat,Male,2025-10-18
234,Patrick Kanda,Male,2025-07-09
235,Ekapad Chatterjee,Male,2026-01-19
236,Mohammed Sastry,Male,2024-04-25
237,Dominic Chana,Male,2026-01-24
238,Triya Gill,Female,2024-08-25
239,Zashil Mahajan,Male,2025-11-27
240,Wridesh Merchant,Male,2025-09-27
241,Dakshesh Sidhu,Male,2026-03-03
242,Isaiah Ranganathan,Male,2026-03-07
243,Chandani Rana,Female,2024-04-11
244,Vasana Pillay,Female,2025-08-04
245,Sai Prabhu,Female,2024-06-18
246,Warinder Bakshi,Male,2025-06-26
247,Janya Bhatnagar,Female,2025-07-08
248,Matthew Rege,Male,2024-06-25
249,Anjali Modi,Female,2026-03-28
250,Chasmum Keer,Female,2026-01-07
251,Rishi Setty,Male,2024-12-27
252,Garima Sachdeva,Female,2025-07-22
253,Tanvi Mammen,Female,2024-04-24
254,Janani Sawhney,Female,2025-02-19
255,Pratyush Chaudhary,Male,2026-03-17
256,Praneel Bhat,Male,2025-01-16
257,Divya Sha,Female,2024-06-06
258,Advaith Bedi,Male,2025-10-26
259,Dev Jha,Male,2024-05-21
260,Hritik Kaul,Male,2024-11-26
261,Aadhya Malhotra,Female,2025-12-17
262,Dhruv Zachariah,Male,2024-09-30
263,Dayamai Bal,Female,2024-07-06
264,Jagat Naik,Male,2024-04-12
265,Atharv Date,Male,2025-09-23
266,Bhavika Soni,Female,2025-02-21
267,Yashvi Chopra,Female,2025-02-24
268,Anthony Verma,Male,2024-11-06
269,Bhavani Srinivas,Female,2025-12-09
270,Darika Swaminathan,Female,2025-09-02
271,Balhaar Buch,Male,2024-11-21
272,Bhavini Date,Female,2024-10-18
273,Rayaan Wali,Male,2024-11-01
274,Chandran Contractor,Male,2025-12-13
275,Upasna Seth,Female,2026-01-08
276,Omkaar Setty,Male,2025-01-16
277,Naksh Sane,Male,2024-11-14
278,Rachit Dua,Male,2025-08-14
279,Bhavna Chand,Female,2025-11-28
280,Upma Char,Female,2025-09-25
281,Dhruv Bhasin,Male,2025-06-02
282,Divya Roy,Female,2024-12-14
283,Atharv Mani,Male,2025-06-12
284,Damini Tripathi,Female,2024-09-03
285,Jasmit Chokshi,Female,2024-12-12
286,Deepa Mallick,Female,2025-05-24
287,Agastya Loke,Male,2024-04-22
288,Mohammed Nori,Male,2024-12-12
289,Eshana Rattan,Female,2024-05-21
290,Chandani Wali,Female,2024-09-04
291,Utkarsh Om,Male,2024-07-24
292,Nicholas Chad,Male,2026-01-04
293,Gaurangi Bawa,Female,2025-08-05
294,Timothy Samra,Male,2025-03-21
295,Triya Mahajan,Female,2024-09-05
296,Orinder Sani,Male,2024-06-20
297,Zansi Morar,Female,2024-05-04
298,Baghyawati Amble,Female,2024-08-28
299,Ekapad Kumer,Male,2024-10-29
300,Aarush Tank,Male,2025-09-27
301,Dhruv Rai,Male,2025-04-24
302,Zashil Pandya,Male,2024-05-23
303,Tejas Bahl,Male,2025-03-02
304,Nirja Sanghvi,Female,2025-05-24
305,Maanav Contractor,Male,2025-01-21
306,Harinakshi Sharma,Female,2025-11-28
307,Chaitanya Sarkar,Male,2025-12-07
308,Tejas Rattan,Male,2025-04-17
309,Nilima Nori,Female,2024-09-09
310,Brinda Uppal,Female,2025-07-06
311,Owen Panchal,Male,2025-09-13
312,Kamya Chauhan,Female,2024-07-16
313,Gabriel Dua,Male,2025-10-07
314,Gaurang Tak,Male,2025-03-05
315,Neel Mutti,Male,2024-07-20
316,Vrinda Sathe,Female,2025-07-05
317,Baghyawati Pandey,Female,2025-04-05
318,Vihaan Seth,Male,2024-04-28
319,Luke Bose,Male,2025-07-14
320,Zehaan Rajagopalan,Male,2025-03-04
321,Umang Guha,Male,2024-11-21
322,Yamini Dora,Female,2026-02-28
323,Charan Oza,Male,2026-03-18
324,Zayyan Gera,Male,2024-04-29
325,Urvashi Viswanathan,Female,2025-04-17
326,Rajata Pradhan,Female,2026-01-30
327,Samarth Nigam,Male,2025-08-08
328,Oviya Bhatti,Female,2024-11-27
329,Lucky Krishnan,Male,2025-09-10
330,Ojas Bumb,Male,2025-05-30
331,Pushti Mukherjee,Female,2026-03-07
332,Dhruv Chad,Male,2024-11-12
333,Omya Datta,Female,2025-08-02
334,Siddharth Trivedi,Male,2024-12-20
335,Mohammed Gole,Male,2026-02-23
336,Watika Handa,Female,2024-09-13
337,Garima Brahmbhatt,Female,2024-11-02
338,Yashica Zacharia,Female,2025-11-30
339,Om Deep,Male,2025-06-10
340,Finn Golla,Male,2025-11-28
341,Theodore Bassi,Male,2025-01-25
342,Tristan Mane,Male,2025-10-01
343,Kamala Walla,Female,2024-09-22
344,Indali Pillai,Female,2025-08-08
345,Vedhika Manda,Female,2025-10-20
346,Faris Iyengar,Male,2025-11-06
347,Ladli Ben,Female,2025-07-12
348,Dalaja Varty,Female,2025-12-12
349,Chakrika Dyal,Female,2024-10-16
350,Urmi Chand,Female,2026-02-19
351,Umang Palla,Male,2026-02-08
352,Avi Randhawa,Male,2025-04-01
353,Sanya Bumb,Female,2024-12-30
354,Nathaniel Chaudhary,Male,2025-12-03
355,Eta Devan,Female,2024-04-28
356,Ekaraj Singh,Male,2025-02-22
357,Balveer Bahl,Male,2024-10-04
358,Zarna Sampath,Female,2024-06-21
359,Kashish Mitra,Female,2024-06-28
360,Ubika Shankar,Female,2024-05-16
361,Adweta Varma,Female,2025-05-25
362,Madhav Sanghvi,Male,2024-04-02
363,Kavya Saha,Female,2024-08-15
364,Pranit Bir,Male,2026-02-25
365,Saumya Singhal,Female,2024-05-02
366,Rachit Kulkarni,Male,2025-09-27
367,Bhavna Pai,Female,2024-09-23
368,Ojas Deol,Male,2024-05-03
369,Gagan Shetty,Male,2026-03-17
370,Hemani Deshmukh,Female,2024-05-17
371,Anita Memon,Female,2024-08-25
372,Ansh Mutti,Male,2026-02-10
373,Vritti Kulkarni,Female,2024-04-27
374,Mekhala Parikh,Female,2025-12-20
375,Noah Mahajan,Male,2024-06-30
376,Urmi Ratta,Female,2025-09-24
377,Pallavi Grover,Female,2025-03-28
378,Raksha Venkataraman,Female,2024-10-12
379,Unnati Brar,Female,2025-02-08
380,Nandini Nagi,Female,2024-06-14
381,Neelima Mohan,Female,2025-02-20
382,Fiyaz Sawhney,Male,2024-12-13
383,Patrick Saran,Male,2024-10-18
384,Bishakha Ravi,Female,2024-12-21
385,Amruta Dhar,Female,2025-12-10
386,Anay Date,Male,2024-05-20
